name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Tiffany,https://www.amazon.com/gp/profile/amzn1.account.AHGRW6Q6CKKDHNI45U2CEYIXQPFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"We previously had the Keurig K10 Mini, but after 5 years the pump gave out so we decided to ""upgrade"" to the K250. We had this Keurig for less than 2 weeks and only used it a few times before the error message ""brewing interrupted, water under pressure, perform needle maintenance"" appeared. We did everything suggested and the error message still appeared. After doing more research, we found this seems to be a common problem. Others noted that it didn't matter what type of water (ex. tap vs bottled) or kcup (approved Keurig vs non-Keurig) was used, they all experienced the same problem. We decided to return ours for a full refund instead of a replacement. Several others noted they were on their third replacement. We didn't want to deal with the hassle of that.",Really Disappointed!,88,2017-12-11 00:00:00,1.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
Patricia A. Davis,https://www.amazon.com/gp/profile/amzn1.account.AGCBXS5XAROSRAAV4T7NHNVZWP4A/ref=cm_cr_arp_d_pdp?ie=UTF8,"This coffee maker has met all my expectations. Once I  found  the coffee blends I  like best, I can have my favorite cup any time of day or any mood. No more wasting pots of coffee. I enjoy tea sometimes and while I can make a cup at a time in the microwave or from hot water in the kettle, this is  still easier. I would not have bought this for tea alone; but, now that I have it...",Perfect for saving space...,196,2017-04-29 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
AV,https://www.amazon.com/gp/profile/amzn1.account.AHUMM5WXWY5RS5OM5LEXNGO74ZDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Great! Makes the coffee super quick and it tastes great. I received 4 sample k-cups, descaling solution and 2 water filters. I bought this to use in my dorm. It doesn't take up too much counter space and it's a beautiful color.","Great coffee maker, love it!",208,2016-07-06 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
Nick,https://www.amazon.com/gp/profile/amzn1.account.AH7BZGY2E7RYSAIDEYSARWBQTYZA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Simpley the best cup of coffee and the best coffee maker we have ever owned. So easy to use our 9 year old daughter can use it. Shipping was fast, ordered it Friday night and received it Sunday morning.",Fantastic,100,2017-02-06 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
Lillian Paula,https://www.amazon.com/gp/profile/amzn1.account.AG7FMBB7SBPGOA4OPRJIQJ57YULQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"If you're shopping for a Keurig you know the basics.  Here's the things that I was looking for that this K250 provided.  (Note - this is our second Keurig, our first model was with us for a good many years but died a slow painful death.  We mourned.  Then we moved on.)",Petite and colorful - how I like my.....coffee brewers,42,2017-07-11 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
Halliecat,https://www.amazon.com/gp/profile/amzn1.account.AHC4H74G3HKIBBXY47F6BZXHOKFQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"We got this for our travel trailer. Fits great on the counter and love all the colors available. It is a little louder and runs a little longer than our old one, but not a big deal.",Fits great on the counter and love all the colors available,17,2017-09-23 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
CatFoodJunkie,https://www.amazon.com/gp/profile/amzn1.account.AGLBOM66HKAUM7FJTP5T4FAKQARA/ref=cm_cr_arp_d_pdp?ie=UTF8,"This is my 2nd Keurig, and after all the kerfuffle over the k pods - I'm pleased to say this machine takes them all.  It is very chatty and polite and easy to use.  I wish it had an auto off -- my big critique.  I can't say much about the color ""plum"" as it's more grey and a tad boring, than the plum color I was expecting.",Excellent Machine,54,2016-09-26 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AE45UZ2NBQBZV6LQ62S2ERWYUWEQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I love it!!! It was easy to set up, coffee comes out at the perfect temperature. It's astetically pleasing and fits perfectly on my coffee drawer. The only thing I don't like/can't figure out is how to turn the screen off. It has a little power button in the bottom left hand side of the screen, but when I push it it does not turn off. So I unplugged it at night.",I love it!,38,2016-11-28 00:00:00,4.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
JD,https://www.amazon.com/gp/profile/amzn1.account.AG5QRIA75YEZ2UAC6WML7JRMHCBA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I have used one at work and so I decided to use it at home.  I love being able to have an extra cup of coffee on the weekends without making a new pot of coffee.  The color is very cool.  So, my son in law made coffee and it blew coffee grounds all over - and it showed a very strange screen I had never seen before - finally figured out what he was doing - when he put the k-cup in he pushed it down to fit - the machine thought we were putting in a caraf size k-cup - soooo, don't push the k-cup down into the holder just set it in and let it bob around until you close the top.  I have had to ""whack"" the bottom of the machine at work a couple times to get it to come on and pre heat - normally after a long weekend and no one took out the last k-cup so it dried all week end - but it does come back to life when I tip it upside down and smack it a couple times.  It make great tea!  I am still experimenting with the reusable cup with the tiny paper filters - I am gettimg the formula close to the strenghth I like - a dark roast seems to work best.",Love it!,36,2017-05-23 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
DORIS C.,https://www.amazon.com/gp/profile/amzn1.account.AGCUFV6ZTGFS4K6VOSZ7I3TR7RWQ/ref=cm_cr_arp_d_pdp?ie=UTF8,I really like this little Keurig K250. It is just what I was searching for to make Hot Cocoa.  I am a Hot Cocoa lover.,Keurig K250: The Best Brewer For Making Hot Cocoa!,8,2018-05-10 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
KarenSue32,https://www.amazon.com/gp/profile/amzn1.account.AGSV3LUMIRAYA35DTX3T46COG62A/ref=cm_cr_arp_d_pdp?ie=UTF8,I am late to the K-cup trend. Started a new job and they have a very basic other brand k-cup machine.  I fell in love with it. My husband was paying attention as I said I wanted one that could make a stronger cup of coffee so this model was my Christmas present. My kids have used it for hot chocolate and my coffee snob son even gave it a thumbs up.  I like the water reservoir and that you can pick how many ounces you want.  Did I mention I like the  strong  setting?  Just love it .,Love love love,10,2018-01-02 00:00:00,5.0,True," Keurig K250 Single Serve, K-Cup Pod Coffee Maker with Strength Control",https://www.amazon.com/Keurig-Single-Coffee-Strength-Control/dp/B018UQ5BJK/ref=sr_1_7?s=kitchen&ie=UTF8&qid=1536938460&sr=1-7&keywords=keurig+coffee+maker
