name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Joe D,https://www.amazon.com/gp/profile/amzn1.account.AEIMLBC2QLUKXZQS6VCIR7TF5YPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Replaced a more expensive Keurig K575 with this model. The K575 was incredibly slow, the assembly complicated poorly constructed, very difficult to clean, and routinely lost settings. The K-Elite is a sturdy assembly. much is shielded from the coffee and hot water stream and cleaning and service is easy.",Replaced a more expensive Keurig K575 with this model and the Elite is a much better product.,209,2018-04-04 00:00:00,3.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
Troublebaker,https://www.amazon.com/gp/profile/amzn1.account.AGJEXT3S4UW4P76ZQ6KSZM6AO5QA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Purchased this to replace another Keurig that I took to the office. I really like this one for the most part. The reason behind the 2 stars is because it leaks water from the dispenser area into either the cup you have under it or, if no cup is present, into the tray and onto the counter. It's not a huge amount, maybe an ounce or two at most and seems to happen more-often when the reservoir is full.","Leaks Water, Keurig Support Is The Worst, Otherwise Nice **updated 7.26.18",72,2018-06-09 00:00:00,4.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
summerulz,https://www.amazon.com/gp/profile/amzn1.account.AH6736VCNX4OXBJB7L3YZLMX3FKQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Only had this a few weeks but, I m very happy with this new Keurig.  Hopefully it lasts longer than my Keurig 2.0!  I love that it has a 12 oz cup option.",So far so good!,27,2018-04-10 00:00:00,5.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
NancyP,https://www.amazon.com/gp/profile/amzn1.account.AGGNUPNEB4L6PJD6A5XAAZMY2KBA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I bought this coffeemaker to replace my classic Keurig that I'd been nursing along for several years. It's a beautiful piece of work. Brushed silver sides, big water reservoir, 5 cup sizes, lit buttons, and even a blue led light that illuminates the water reservoir! It looks and feels well-built even though its incredibly light. Matter-of-fact, when I lifted the box it was shipped in, it was so light I thought the wrong item had been sent. My classic Keurig was a heavy monster compared to this. I'm very happy with this and can't recommend it enough.","Beautiful, functional & well-made.",41,2018-04-19 00:00:00,5.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
inzanevb,https://www.amazon.com/gp/profile/amzn1.account.AFHGD56EHLFWP66EYFUIG2K5VN7Q/ref=cm_cr_arp_d_pdp?ie=UTF8,I used my Keurig Elite for a month and all of a sudden it turned on by itself and I woke up to and island full of water.  I called Keurig and they sent me a new one.  I used the new one twice and on the third morning I turned it on and it started to dispense unheated water and wouldn t stop.  I had to unplug it to make it stop.  I plugged it back in and turned it on and once again it started to dispense the water from the reservoir and doesn t STOP!!!  Very frustrating.  Keurig suport is closed and I ll have to call them on Monday.,I used my Keurig Elite for a month and all ...,71,2018-05-13 00:00:00,1.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
Maureen Hudson,https://www.amazon.com/gp/profile/amzn1.account.AFUZ74WI2NSINDM6PATDR5UKDATQ/ref=cm_cr_arp_d_pdp?ie=UTF8,My first Keurig lasted for 5 years of HARD daily use; I bought this one as a replacement and we absolutely love it. We love the brew strength and other features. The black and brushed steel with the blue backlight in the water chamber make this unit look far classier than my old machine. Definitely worth the money. Bought a reusable filter today and I hope it works with this machine.,I made the right choice purchasing this unit,37,2018-04-22 00:00:00,5.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
Jann,https://www.amazon.com/gp/profile/amzn1.account.AG3BXCY47L5IUIZVJKMPE647UK3A/ref=cm_cr_arp_d_pdp?ie=UTF8,"I have owned several Keurigs since they came out.  This is a space saving, nice looking Keurig. It's not as fancy as some of the others I've had. I wish you could change the color of the reservoir and the panel with buttons is difficult to see. I prefer the digital panel with cup size choices, etc. That being said, this model is quieter than others.","Space Saving, Nice Looking Keurig",12,2018-05-15 00:00:00,4.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
Marshall smith,https://www.amazon.com/gp/profile/amzn1.account.AHIIY2F65TAPQCO7DUH7PSTNES5A/ref=cm_cr_arp_d_pdp?ie=UTF8,Ordered My Keurig k- elite a few weeks ago.  I thought I was one of the last hold outs to buy one.  Most of my family has the Keurig and not the k-elite.  I'm so happy with this coffee maker its a dream. No more coffee down the drain because I made to much for one person. I can set my temp up for hotter coffee and because of its compact design It will open under my counter without pulling it out.  It also hold close to 72 ounce's of water so less filling it up..  I'm happy I waited to get one because I love the new K-Elite.,I'm so happy with this coffee maker its a dream,12,2018-05-17 00:00:00,5.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
thepit47,https://www.amazon.com/gp/profile/amzn1.account.AHMEVJQDIPHS44FMI63ZXX36NHDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I have owned several Keurig coffee makers and this one is far superior to any I have owned.  I had 2 separate Keurig 2.0 brewers and they were nothing but trouble with the constant ""Brew Interrupted"" and the wasting of dozens of K-Cups.  This brewer does not have that issue and makes a great cup of coffee.  I'm glad I took a chance on this one.",Far Superior Than Any Other K-Cup Brewer,7,2018-06-21 00:00:00,5.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
Jenifer L OConnell,https://www.amazon.com/gp/profile/amzn1.account.AHLKN42XMGJPB233AERLIZHMRAZA/ref=cm_cr_arp_d_pdp?ie=UTF8,"So Far so good. Of course it makes excellent coffee now!! But, we have to replace these machines on average every 2 years. I wouldn't continue buying them but we all are attached to the coffee products. Any suggestions??",So Far so good. Of course it makes excellent coffee now,6,2018-05-07 00:00:00,4.0,True,Keurig K-Elite Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Elite-Temperature-Capability-Programmable/dp/B078NN17K3/ref=sr_1_2?s=kitchen&ie=UTF8&qid=1536938460&sr=1-2&keywords=keurig+coffee+maker
