name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
GuinnessFan,https://www.amazon.com/gp/profile/amzn1.account.AHBIFBF6QZMROSQFJAM2KFPVV36A/ref=cm_cr_arp_d_pdp?ie=UTF8,"This is the latest Keurig coffee maker. I bought it to replace my eight year old Keurig original model (the one with only two sizes and pretty much nothing else.) That machine held on just long enough to keep me from having to buy one of the over-engineered digital monstrosities that Keurig put out between this one and my first machine. There's plenty to like about this machine. First off, the aforementioned lack of digital gimmickry, and the wonderful accompanying blessing of no more nonsense about the K-cup not being on Keurig's list of approved kick-back brands of K-cups. Second, it DOES retain the great idea from the digital machines of a strong brew setting (which I absolutely love.) Third, it has four sizes which is maybe not earth-shaking, but is still kind of nice. One other tiny improvement over my original model is that the compartment stays all the way open instead of springing back down a little like the handle did on my old machine, which is obviously a pretty minor consideration, but one I appreciate to a disproportionate degree.","Keurig Sees the Writing on the Wall, Takes a Breath, Calms Its Inner Greed Monster, and Nails It",258,2017-11-02 00:00:00,5.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
madlink,https://www.amazon.com/gp/profile/amzn1.account.AHOUJVK2JNJVDCX4UBDMFZNM2B7A/ref=cm_cr_arp_d_pdp?ie=UTF8,"There appears to be a design or manufacturing flaw in this coffee maker.  Amazon Customer Service have been really good about replacing units, but I am now getting a 3rd unit shipped to me (at no additional cost, I might add).  The first 2 units have the same problem:  Water flows into the cup before any cup-size button has been pressed, and the water is cold.  Maybe the 3rd unit will be okay, but I'm not confident that it will be.  ***Update:  The 3rd unit malfunctions just like the other two.  Unless the manufacturer can convince you that they have fixed the problem, stay away from this model.***",Design flaw?,67,2018-01-16 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
D. Coral,https://www.amazon.com/gp/profile/amzn1.account.AGFDJJCKAKGZ425UKILA5LKI4EMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Prior to this new Keurig, my favorite K-Cup machine was the Cuisinart SS-700.  Recently Cuisinart replaced the SS-700 with the poorly engineered flimsy SS-10 model, which I returned because it tends to spray coffee all over the place.",The best mid-size K-Cup machine,110,2017-10-25 00:00:00,4.0,False,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
sazhazman,https://www.amazon.com/gp/profile/amzn1.account.AHPHXEYN5T4FSP6CMYPZD6NAJUOA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I was very happy with this unit for the first 3 weeks. Then I woke up one morning, walked past the machine as I pushed the power button, and within 5 seconds I heard water splashing all over my countertop.  The pump started running without heating, closing the lid, or even pushing a button. I had to hit the power button several times to get it to stop.",Worked great for about 3 weeks and then...,56,2018-01-29 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
Patricia Carr,https://www.amazon.com/gp/profile/amzn1.account.AFV2BYWEZZNXRJMCYTCXWT2ULQIQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"Junk. I bought this to replace seven year old model that finally died. Purposely got a ""no screen"" model--read  reviews about the unreliability of models with lcd screens (one we had at work died within 6 months).","Unreliable, cheaply made",16,2018-04-02 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
tim,https://www.amazon.com/gp/profile/amzn1.account.AFIDIZJ5W6CPX4R4XDR3TIDDFJHA/ref=cm_cr_arp_d_pdp?ie=UTF8,"Used this unit about 12 times.  Now it starts pumping water as soon as it's turned on and won't stop until the reservoir's empty.  The reset/cleaning and 'burping' fixes don't do a thing.  Unit was delivered 01/18/2018, today is 04/11/2018.  Absolute piece of crap.  Don't buy it.",Absolute Rip Off,26,2018-04-11 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
Kindle Customer,https://www.amazon.com/gp/profile/amzn1.account.AHZIU7ISSJ533PEXMKYIGBYWARMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"As I walked into the kitchen the green led went out signaling I needed to begin another water heating cycle.  I pressed the ""on"" button and hot water began pouring out of the spout splashing and burning my hands.  I put an empty 16 Oz cup under the spout and put my hands under my cold water faucet to stop the burn.  I pulled the plug on the faulty Keurig machine and that stopped the water pouring out.  I was unlucky.  Most of the time I expect i'd get a cold water flow.  But I wonder how many parents let their children make hot chocolate with this bad Keurig.  Depending on their height, quickness and bad luck they could get very hot water in the face.  The machine is not safe.  I tried to contact Keurig.  They refused to help me or even talk to me.  They refuse to acknowledge that this model has a problem.  Instead they spammed me, telling me over and over what great products they have.  Note that others have reported the exact same problem with evidently no response from Keurig.  If you have this machine I urge you to supervise use by children.  BTW, could the reservoir run dry if the machine was not unplugged?  What might happen then?",Possible Scalding Danger Especially For Children,19,2018-04-16 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
George Vandervort,https://www.amazon.com/gp/profile/amzn1.account.AECJFZ7Q4Y3KQDDTCVOBZK5T3ZNA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I own three older Model K45 Elite Keurig Coffee Makers that I LOVE and Recommend to others, However. after Purchasing this new Keurig K-Select with similar features as the K-45 Elite K-cup Coffee makes, I am DISAPOINTED TO DISCOVER IT HAS two (2) DESIGN FLAWS,",New Keurig K-Select Serieres has Design Flaw,90,2017-12-10 00:00:00,4.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AFSXB3P3CT7A7IOK5K7V5YEUADNA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I LOVED this coffee maker - a strong brew feature that you could use or not with each cup, cup size chosen by a button with each cup, perfect for a house with multiple coffee/tea/cocoa drinkers!",So MANY great features - but two machines broken after only three weeks!,23,2018-03-30 00:00:00,1.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
R. Pollack,https://www.amazon.com/gp/profile/amzn1.account.AFREDEESXNXBRVUQSE5XFBBHO24A/ref=cm_cr_arp_d_pdp?ie=UTF8,"Planned to give four stars here, but Keurig doesn't include a water filter pod for the included water filter, which is kind of like selling a floor mop with no sponge at the bottom. If they can provide a box of assorted K-cups for free, they can throw in a freakin' starter filter pod. There's my gripe, now here's the better news.",No water filter pod included!,32,2018-01-01 00:00:00,3.0,True,Keurig K-Select Single Serve K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K-Select-Single-Strength-Control/dp/B074WH5S44/ref=sr_1_9?s=kitchen&ie=UTF8&qid=1536938460&sr=1-9&keywords=keurig+coffee+maker
