name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Careful 'n Selective,https://www.amazon.com/gp/profile/amzn1.account.AG64QPK2SOOKNS7IXKMB7GJ6G7HQ/ref=cm_cr_arp_d_pdp?ie=UTF8," I had wanted a single serving coffee maker for a very long time, and even though I had been leaning toward the well-known Keurig brand, I was still open-minded to other products.","Now I Own TWO - I love my Keurig K15 - Reliable, Fast Easy Usage, No Cleanup, and an Excellent Brew",594,2016-12-21 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
BC360,https://www.amazon.com/gp/profile/amzn1.account.AG7HQ6D2IUB6K2KLNWETW46XZSDQ/ref=cm_cr_arp_d_pdp?ie=UTF8,My wife and I were looking for something that took up less space on our counter while we were living in an apartment waiting for our house to be built... the Keurig K15.  It's compact and doesn't take up nearly as much space as my K55.  There are three minor setbacks that you should be aware of.,"Works well, small form factor.",854,2016-10-28 00:00:00,4.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AHG5I4SBF4OXF5QRMIFVYMUISJEA/ref=cm_cr_arp_d_pdp?ie=UTF8,I bought this in March and now the water no longer flows correctly from the tube.  It fills with water as people don't know it's not working and floods the place.  I've tried cleaning but it still clogs up.  I'm guessing it's because the poker and the tube are to close and coffee grinds keep getting sucked up into the system.  This is just a guess mind you.  I don't know how this got the high rating it did.  Of course it's past the return policy.  I do love the design or look of it but now it's basically a paperweight.  My clients also complained the water just did not get hot enough.  Ste,I'm guessing it's because the poker and the tube are to close and coffee grinds keep getting sucked up into the system,61,2017-06-06 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Kathy,https://www.amazon.com/gp/profile/amzn1.account.AHUJDFCL2YDCFH6FCPF3MH2LA52Q/ref=cm_cr_arp_d_pdp?ie=UTF8,"I had a larger Keurig before buying this one. I like this one much better. It takes up much less space on the counter and I actually like that water doesn't sit in it all the time. There are measuring indicators inside that tell you where the 6, 8, and 10oz level is, but I find it easier to just fill up my cup and pour it in. It is quiet, fast, and shuts off automatically after 90 seconds of non use.",Compact and attractive,61,2017-07-05 00:00:00,5.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Amazon Customer,https://www.amazon.com/gp/profile/amzn1.account.AECZSGACLFN76KPZUTFKGWKJI3SQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I am super unhappy with this Keurig.  I have been a long-time user of Keurig coffee makers, but this one just does not cut the mustard.  Unfortunately, because we bought it for our RV, we did not test it in time to meet the NARROW window of return opportunity.  What is that about????  The plastic was cheap, the coffee was cold, and the functionality was awkward.  We feel duped.",Keurig.....So You Think You Can Trust A Brand Name?!,32,2017-07-26 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Utility Power Engineer,https://www.amazon.com/gp/profile/amzn1.account.AG6GRVX5PXVGLABA2JOX2SODWHTQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I have bought four Keurig coffee machines in that last 63 months, and used each to brew four cups of coffee per day - not a heavy burden for a machine costing this much.  None has lasted more than two years and each lasted a shorter time than the previous one.  This lastest, bought last Oct 16 according to Amazon's records, lasted just 121 days - almost exactly a third of a year.  Having to replace them at a rate of three per year seems rather extreme, so I've given up on Keurig now and bought something else that brews K-cups.  I'll see if it lasts longer - I hope.",I have bought four Keurig coffee machines in that last ...,126,2017-02-15 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Too Fond Of Books,https://www.amazon.com/gp/profile/amzn1.account.AEY2OVLIPQOWI4SV7PWJQCDM6EMA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I purchased this mini Keurig to take with me when I visit my son, who doesn't drink coffee. I must have my morning coffee!  (Keurig needs to make a travel case!)  It also saved the day when the carafe broke on our regular coffee pot -- I used it until the replacement carafe arrived.  It is easy to use and brews quickly.  The drain tray is removable to accommodate taller mugs (see photo), but I wish it would accept more than 10 oz. of water so that you can better adjust the strength of the coffee. I haven't had any quality problems so far, using it intermittently.","Have Keurig, will travel",67,2016-10-18 00:00:00,4.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
G. Scott,https://www.amazon.com/gp/profile/amzn1.account.AFEQLRNUSU6Y5LX3HFL66MXRTGPQ/ref=cm_cr_arp_d_pdp?ie=UTF8,Editing my review based on our experience.,4 Fails - Sorry Charlie,36,2017-08-18 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
OhioJLo,https://www.amazon.com/gp/profile/amzn1.account.AEWPZY3D3O7DNNVVWBBNRGEEHGBA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I owned a B145 OfficePro Keurig for six years, and used it almost every day at least 3 times--much more with frequent houseguests, and the switches were finally starting to get wonky, so I replaced it with this one. All the things about a Keurig machine that I like are in this model:",My item,7,2018-05-03 00:00:00,4.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
Rapid Reader,https://www.amazon.com/gp/profile/amzn1.account.AGZ3MZ4YQSC2ROYMIQHR6EB5BU4A/ref=cm_cr_arp_d_pdp?ie=UTF8,"This coffee maker is awful. We have gone thru 4 or more of them and each one craps out after minimal use. This last one only made it for less than a month. Will try another brand this time. Not sure what the problem here is. We live at 7500 feet so don't know if the altitude has something to do with it, but I get tired of sending them back to Keurig.",Awful!,19,2017-05-31 00:00:00,1.0,True,Keurig K15 Single Serve Compact K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-Single-Serve-Compact-Coffee/dp/B01BOU6CCE/ref=sr_1_5?s=kitchen&ie=UTF8&qid=1536938460&sr=1-5&keywords=keurig+coffee+maker
