name,profile,review_text,review_title,help_count,time_stamp,review_score,verified,product_name,product_link
Victor C,https://www.amazon.com/gp/profile/amzn1.account.AE4NQA5BRD6ESTH5ZXIV4STYF7JQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I started on the Keurig system with a B70 that I picked up at Sam's Club . Nice looking brewer but it always felt ""toyish"" and only lasted 1.5 years. It gave out while I was descaling it I guess due to a weak water pump designed for home use. So I moved on to this commercial brewer I picked up at Staples and never looked back.",Great Commercial for Home Use,148,2015-04-04 00:00:00,5.0,False,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Z.V.,https://www.amazon.com/gp/profile/amzn1.account.AHKGCYI5T4PR7BSZIES6OMX44BVA/ref=cm_cr_arp_d_pdp?ie=UTF8,"If you're looking for a Keurig that is both quality material and impressive-looking, look no further than the K155!","My TRUE rating out of 10, is a solid 9. (Two-week review)",55,2017-09-09 00:00:00,4.0,False,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Lisa C.,https://www.amazon.com/gp/profile/amzn1.account.AGJ63E4V3PMTAZF52Y2N4X2ZHM5A/ref=cm_cr_arp_d_pdp?ie=UTF8,"I love this machine when its working properly but it keeps freezing up with an error message that says ""Water Flow Interrupted To Reset, Please Life and Remove Water Reservoir"" as seen in the attached picture. This requires me to remove the water reservoir to reset it.  I'm going to contact Keurig about it because it's really becoming a pain and paid a lot of money for this product so I don't think I should have to be dealing with this issue.  I'm trying to figure out how to contact the Seller within Amazon where I ordered it but, of course, I can't find the information.  If anyone knows how to find a Seller's contact information in Amazon, I would appreciate your help with this.  Thank you!",I love this machine when its working properly but it keeps ...,13,2017-11-13 00:00:00,3.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Stacy BH,https://www.amazon.com/gp/profile/amzn1.account.AEUD74BW4FFZOCAPNEHHGTOFMSJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,This gets extremely heavy use.  Multiple cups daily and is still going strong!  Very happy with this model.,Best model I have owned! Purchased two....one for home and one for biz!!!,33,2015-07-16 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
J. Naeve,https://www.amazon.com/gp/profile/amzn1.account.AFUO2IS2GBMOZUMQ3WXNWJV55QYQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"I was a little skeptical at first because our previous Keurig 2.0 only lasted about 13 months (of course just after the warranty expired) but I am usually a proponent of buying ""commercial"" grade products for their durability - the adage of ""Go big or go home"" has merit!  So we're still in the honeymoon stage with this brewer at just under a week but, I find it to be much a better made product than the previous Keurig we had and it also seems to brew a little quicker too.  I thought I'd address a key point that some others had complained about: [TASTE]","Great product, cleaning guidance for great tasting coffee...",17,2016-09-05 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
E. J. Vaccaro,https://www.amazon.com/gp/profile/amzn1.account.AGZGNKH5YAB4XVDQTQIXP3DOHWHQ/ref=cm_cr_arp_d_pdp?ie=UTF8,We bought this in April after our second consumer grade brewer from another manufacturer died in less than 18 months.  We brew about 10 cups per day in our house.  This unit is clearly made for heavier usage than consumer models.  It also has several advantages over them that were not readily apparent until we started using it.,I purchased a second one so that we can swap them out while the dirty one is soaking,26,2016-08-22 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Marley981,https://www.amazon.com/gp/profile/amzn1.account.AHDKK45X4ZA4ATX3CRYRXYHQOSRA/ref=cm_cr_arp_d_pdp?ie=UTF8,"I settled on purchasing this unit for the office after doing quite a bit of research.  We have had in the break room since November and have not had an issue with it.  The brewer is really well made, and nothing about it seems cheap.  It is a solid unit.  This offers a few things that the home brewers do not offer such as the on demand water option, brewing sizes, timers and a touch screen.  About the touch screen though, it has preloaded images when its on, or brewing and they are super generic.  It would be nice to be able to load your own photos onto it.  This also can read all Kcups regardless of when they were released.  It has a very large reservoir  if you do not plan on getting the kit to hook it up directly to a water line.  We have about 160 employees and this machine is used in conjunction with a regular coffee brewer.  It has never had an issue as of yet.",or brewing and they are super generic. It would be nice to be able ...,9,2016-03-03 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
RSV,https://www.amazon.com/gp/profile/amzn1.account.AFSTVP6OGSEDWLLWT6RCDCSDSKNA/ref=cm_cr_arp_d_pdp?ie=UTF8,"My wife and I have been K-cup fans since their introduction.  In fact, we own 3 Keurig brewers and 1 made by another brand between our home, offices, my workshop and our camper.  With the purchase of our new home, I wanted to upgrade from the routine of constant reservoir filling and bought the K155, direct plumb kit, and the filter system - all from Amazon.  Unfortunately, it was a rough experience overall and why I won't go above 3 stars after the problems.  First, my direct plumb kit came perfectly wrapped but the reservoir had a huge shatter crack in it!  No problem, Amazon made that right.  Then the K155...  I opened it and found the painted finish to be defective from the factory with discoloration behind where the cup sits and wrinkling/peeling along the edges of the ""jaw"" for the K-cup holder.  I thought to myself it would probably look this way in a short time regardless because of how often it would be used so I cleaned and sanitized per the instructions.  After that I subsequently brewed the most unpalatable cup of ""plastic"" ever!  Even just hot water through it wreaked of plastic!  I went through an exercise of multiple vinegar soaks and flushes (2 gallons, yes gallons of white vinegar) and the plastic taste and smell persisted to the point our entire kitchen smelled of it and it permeated into other rooms!  I looked for troubleshooting online and tired 2-3 more remedies but none worked.  So, I contacted Amazon who contacted the Amazon seller, and the seller wanted to ignore the requests from Amazon customer service.  I escalated the matter with Amazon who ultimately got on the seller, but I couldn't wait for that given the $$$ invested in this so I contacted Keurig directly.  Let me tell you what, I got a live person immediately after dialing and within 10 minutes had a brand new replacement K155 ordered for me!  I received it just just 2 business days later!  All I did for the replacement unit was wash everything per the cleaning/sanitation instructions and it brewed a perfect cup of Sumatra!  I guess the moral of the story is that it can be a gamble whether or not a K155 will brew a cup of plastic or a cup of joe...  While it all worked out in the end and I am happy with the setup, my frustration, time, and money invested on cleansing make this top out at three stars.","The K155 might just be hit or miss. It can work out in the end, but it may not be smooth sailing getting there...",24,2016-02-22 00:00:00,3.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Ruth,https://www.amazon.com/gp/profile/amzn1.account.AHMGC22UVSE3RRTSA5O2ZKB33FCA/ref=cm_cr_arp_d_pdp?ie=UTF8,"12/1/2017:  Just got this yesterday.  So far, hubby and I love it!  Very easy set-up; we don't need or want 12 oz. cups or direct water hook up.  If I want a latte, I use the 4 oz. setting.  10 oz. setting is MORE than enough for a cup of coffee for us.  I debated over many different models and finally, decided on this one.  So far, I'm NOT sorry we got this one.","HOT WATER!  Quck, easy.. so far, it's wonderful!",2,2017-12-01 00:00:00,5.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
Steeni,https://www.amazon.com/gp/profile/amzn1.account.AE2G6GLWPW57CVLJZZ3ON3CVOLJQ/ref=cm_cr_arp_d_pdp?ie=UTF8,"This is my second Keurig in 4 months.  First time I thought surely I must have just gotten a lemon.  I upgraded to this much larger model.  I have had this exact model at my office for a few years and we loved it.  But now their products are have problems making a full cup of coffee, weak, weak, out put, dribbling out and making tiny cups of coffee for two minutes.  If you research it online you will find articles that say not to throw it away or return it, that this is normal, to clean out the holes with a paper clip and descale with vinegar.  I have done all that with both of the pots I have bought in the last 4 months - it does not work!  There is a problem with the motor or something.  If I run just straight water it works fine.  If I put a keurig pod in it, it makes half as much liquid and takes all day - loses all pressure.  Wont buy another one.  What a shame.  The earlier models I had lasted years.",2nd Keurig in 4 months and both failed within a week.,2,2018-07-26 00:00:00,1.0,True,Keurig K155 Office Pro Single Cup Commercial K-Cup Pod Coffee Maker,https://www.amazon.com/Keurig-K155-Office-Single-Commercial-Coffee/dp/B00DWKEHU4/ref=sr_1_10?s=kitchen&ie=UTF8&qid=1536938460&sr=1-10&keywords=keurig+coffee+maker
